Address,Group,NFT Balance,ETH Balance,Last Update
0x13957CB811B44E23B8DD1CADE07A94FBC9D7D788,PT,6,0.08454746399999993,2022-02-01 13:35:24
0x40933FF8E3A97885DCE5A9D6EAB495397928D713,PT,5,0.078986,2022-02-01 13:35:20
0x2D1C21748A5C491F39C29E0B537CC80BE135E987,PT,8,0.118524378,2022-02-01 13:35:19
0x7F4BC6CA138E1C0B6ABA58246662F431070F3225,PT,4,0.05031291,2022-02-01 13:35:18
0x465B51A1893EAAC3A48EC72AE5FCD763AC475653,RGN,7,0.11064151999999994,2022-02-01 13:35:15
0x153E1C0C96B7476324BD9AB5A7956D4892953024,RGN,5,0.07260925,2022-02-01 13:35:17
0xF0BCC80BDA2364FBA10E279BA677D399125C2C52,RGN,5,0.078986,2022-02-01 13:35:13
0xB1B1F65E6977863C73B979EB02ED947BC4B2145B,RGN,4,0.057635218,2022-02-01 13:35:12
0x0AB259F3CFF43811F6FE2B556C21334BB856CDCE,RGN,6,0.08981375999999994,2022-02-01 13:35:09
0xBEA724DF149D3BF972071500E0BA85D341BB51BD,RGN,4,0.050835932,2022-02-01 13:35:08
0x33976EB78F5CD9F9BB6DE55413336E18182BDA09,RGN,7,0.06545798092218591,2022-02-01 13:35:11
0x180E3D22D6BBD860D153AF5A7C2C456B4496DA76,RGN,7,0.09850378599999994,2022-02-01 13:35:06
0xF33042B57AB24BC9914B69CB07A09D13AAE55EDF,IOG,5,0.07005855,2022-02-01 13:35:03
0x36565A17C8B98AB4FA33A0B897AC691319229C8E,IOG,4,0.048743844,2022-02-01 13:35:02
0x432E9FC98720D5B6A7DBD77E41BCCD1BFE22A069,RGN,4,0.057112196,2022-02-01 13:35:04
0x59A421600C7F8E2154FC2FA850419C7CBF3EE48F,IOG,5,0.070696225,2022-02-01 13:35:00
0xC87C19C5A81CAA06366B9818871256170D8D98BC,IOG,7,0.09763680499999994,2022-02-01 13:34:57
